Categorías;Barrios;2018;2019;2020;2021;2022
10 personas;12. Usera;123;143;156;157;106
10 personas;13. Puente de Vallecas;164;162;184;179;146
10 personas;14. Moratalaz;27;21;27;31;27
10 personas;15. Ciudad Lineal;98;121;137;122;102
10 personas;16. Hortaleza;50;50;63;60;43
10 personas;17. Villaverde;94;119;132;129;126
10 personas;18. Villa de Vallecas;32;42;53;41;38
10 personas;19. Vicálvaro;25;23;28;25;20
10 personas;20. San Blas-Canillejas;46;59;79;69;56
10 personas;21. Barajas;8;11;9;9;6
11 personas;01. Centro;47;36;55;40;37
11 personas;02. Arganzuela;26;23;15;27;15
11 personas;03. Retiro;19;20;18;26;17
11 personas;04. Salamanca;21;26;24;31;24
11 personas;05. Chamartín;41;32;33;35;33
11 personas;06. Tetuán;61;62;62;65;53
11 personas;07. Chamberí;23;28;18;21;20
11 personas;08. Fuencarral-El Pardo;49;40;60;53;54
11 personas;09. Moncloa-Aravaca;25;37;38;37;24
11 personas;10. Latina;65;60;94;75;55
11 personas;11. Carabanchel;85;90;119;122;99
11 personas;12. Usera;52;75;105;90;67
11 personas;13. Puente de Vallecas;70;87;105;127;73
11 personas;14. Moratalaz;12;18;13;10;6
11 personas;15. Ciudad Lineal;59;59;63;63;48
11 personas;16. Hortaleza;27;33;30;24;19
11 personas;17. Villaverde;54;53;71;82;74
11 personas;18. Villa de Vallecas;21;22;27;32;18
11 personas;19. Vicálvaro;8;17;11;14;14
11 personas;20. San Blas-Canillejas;22;29;30;45;25
11 personas;21. Barajas;4;3;5;3;5
12 personas;01. Centro;26;36;27;38;27
12 personas;02. Arganzuela;9;10;14;22;10
12 personas;03. Retiro;6;7;10;3;5
12 personas;04. Salamanca;11;12;22;20;11
12 personas;05. Chamartín;22;25;29;20;14
12 personas;06. Tetuán;39;48;40;49;32
12 personas;07. Chamberí;18;13;18;23;15
12 personas;08. Fuencarral-El Pardo;23;26;33;26;26
12 personas;09. Moncloa-Aravaca;15;20;12;22;14
12 personas;10. Latina;40;37;57;43;25
12 personas;11. Carabanchel;41;46;60;62;45
12 personas;12. Usera;47;48;50;54;36
12 personas;13. Puente de Vallecas;36;47;66;55;46
12 personas;14. Moratalaz;5;6;6;7;8
12 personas;15. Ciudad Lineal;25;21;45;29;25
12 personas;16. Hortaleza;13;11;19;18;15
12 personas;17. Villaverde;28;41;52;39;45
12 personas;18. Villa de Vallecas;16;15;19;14;11
12 personas;19. Vicálvaro;3;4;10;11;6
12 personas;20. San Blas-Canillejas;14;15;25;11;9
12 personas;21. Barajas;2;1;1;6;1
13 personas;01. Centro;21;26;23;22;22
13 personas;02. Arganzuela;4;6;9;7;6
13 personas;03. Retiro;2;2;3;3;2
13 personas;04. Salamanca;8;5;5;14;12
13 personas;05. Chamartín;14;10;9;11;18
13 personas;06. Tetuán;17;18;31;21;11
13 personas;07. Chamberí;7;11;10;9;4
13 personas;08. Fuencarral-El Pardo;16;12;13;17;13
13 personas;09. Moncloa-Aravaca;10;7;12;11;6
13 personas;10. Latina;20;20;33;17;19
13 personas;11. Carabanchel;21;31;37;33;18
13 personas;12. Usera;28;26;21;18;20
13 personas;13. Puente de Vallecas;20;31;54;45;23
13 personas;14. Moratalaz;4;6;3;4;3
13 personas;15. Ciudad Lineal;13;26;21;13;11
13 personas;16. Hortaleza;8;12;9;12;9
13 personas;17. Villaverde;17;22;24;18;19
13 personas;18. Villa de Vallecas;5;9;14;12;6
13 personas;19. Vicálvaro;3;2;3;3;6
13 personas;20. San Blas-Canillejas;9;8;13;14;5
13 personas;21. Barajas;2;1;0;1;0
14 personas;01. Centro;13;9;15;11;6
14 personas;02. Arganzuela;4;6;1;7;4
14 personas;03. Retiro;0;2;1;1;3
14 personas;04. Salamanca;4;3;5;5;6
14 personas;05. Chamartín;8;6;12;14;4
14 personas;06. Tetuán;15;18;23;16;13
14 personas;07. Chamberí;6;7;9;7;7
14 personas;08. Fuencarral-El Pardo;6;9;12;9;2
14 personas;09. Moncloa-Aravaca;6;5;7;3;6
14 personas;10. Latina;10;8;10;12;9
14 personas;11. Carabanchel;11;18;24;24;8
14 personas;12. Usera;8;14;12;15;12
