Categorías;Barrios;2018;2019;2020;2021;2022
Bachiller superior, B.U.P.;15. Ciudad Lineal;27.682;28.073;28.740;28.713;28.538
Bachiller superior, B.U.P.;16. Hortaleza;21.853;22.088;22.416;22.518;22.517
Bachiller superior, B.U.P.;17. Villaverde;14.861;15.484;16.347;16.924;17.199
Bachiller superior, B.U.P.;18. Villa de Vallecas;11.925;12.193;12.774;12.974;13.141
Bachiller superior, B.U.P.;19. Vicálvaro;7.200;7.487;7.820;8.129;8.669
Bachiller superior, B.U.P.;20. San Blas-Canillejas;17.780;18.131;18.709;18.988;19.045
Bachiller superior, B.U.P.;21. Barajas;6.524;6.626;6.723;6.721;6.467
Otros titulados medios;01. Centro;2.337;2.339;2.410;2.467;2.477
Otros titulados medios;02. Arganzuela;2.186;2.196;2.235;2.190;2.188
Otros titulados medios;03. Retiro;1.637;1.619;1.614;1.584;1.569
Otros titulados medios;04. Salamanca;2.204;2.193;2.178;2.127;2.107
Otros titulados medios;05. Chamartín;2.278;2.300;2.316;2.257;2.222
Otros titulados medios;06. Tetuán;2.431;2.473;2.481;2.490;2.500
Otros titulados medios;07. Chamberí;1.941;1.973;1.959;1.955;1.976
Otros titulados medios;08. Fuencarral-El Pardo;3.542;3.567;3.559;3.481;3.364
Otros titulados medios;09. Moncloa-Aravaca;1.596;1.595;1.637;1.636;1.649
Otros titulados medios;10. Latina;2.868;2.938;3.093;3.102;3.134
Otros titulados medios;11. Carabanchel;3.225;3.371;3.552;3.577;3.608
Otros titulados medios;12. Usera;1.539;1.581;1.657;1.694;1.719
Otros titulados medios;13. Puente de Vallecas;2.362;2.449;2.617;2.628;2.684
Otros titulados medios;14. Moratalaz;1.139;1.183;1.225;1.184;1.203
Otros titulados medios;15. Ciudad Lineal;3.418;3.474;3.528;3.503;3.540
Otros titulados medios;16. Hortaleza;3.093;3.151;3.193;3.160;3.148
Otros titulados medios;17. Villaverde;1.410;1.467;1.602;1.653;1.672
Otros titulados medios;18. Villa de Vallecas;1.665;1.706;1.781;1.799;1.809
Otros titulados medios;19. Vicálvaro;851;856;911;968;1.120
Otros titulados medios;20. San Blas-Canillejas;2.248;2.297;2.371;2.392;2.395
Otros titulados medios;21. Barajas;916;940;960;963;922
Diplomado Escuela universitaria;01. Centro;7.124;6.940;6.945;6.809;6.688
Diplomado Escuela universitaria;02. Arganzuela;9.635;9.565;9.431;9.151;8.860
Diplomado Escuela universitaria;03. Retiro;7.719;7.573;7.502;7.265;7.119
Diplomado Escuela universitaria;04. Salamanca;8.288;8.066;7.940;7.686;7.529
Diplomado Escuela universitaria;05. Chamartín;8.144;8.003;7.847;7.615;7.375
Diplomado Escuela universitaria;06. Tetuán;6.888;6.811;6.821;6.670;6.516
Diplomado Escuela universitaria;07. Chamberí;7.875;7.750;7.590;7.285;7.098
Diplomado Escuela universitaria;08. Fuencarral-El Pardo;13.042;12.983;12.909;12.637;12.347
Diplomado Escuela universitaria;09. Moncloa-Aravaca;6.282;6.229;6.239;6.026;5.905
Diplomado Escuela universitaria;10. Latina;10.156;10.054;10.018;9.870;9.648
Diplomado Escuela universitaria;11. Carabanchel;9.158;9.200;9.236;9.096;8.983
Diplomado Escuela universitaria;12. Usera;3.639;3.650;3.717;3.647;3.611
Diplomado Escuela universitaria;13. Puente de Vallecas;5.535;5.533;5.643;5.491;5.427
Diplomado Escuela universitaria;14. Moratalaz;4.644;4.606;4.587;4.427;4.317
Diplomado Escuela universitaria;15. Ciudad Lineal;10.169;10.090;10.121;9.881;9.698
Diplomado Escuela universitaria;16. Hortaleza;8.978;9.064;9.206;9.078;9.073
Diplomado Escuela universitaria;17. Villaverde;3.931;3.942;4.023;4.038;4.057
Diplomado Escuela universitaria;18. Villa de Vallecas;4.689;4.743;4.802;4.763;4.676
Diplomado Escuela universitaria;19. Vicálvaro;2.839;2.900;2.963;2.991;3.141
Diplomado Escuela universitaria;20. San Blas-Canillejas;6.284;6.319;6.294;6.188;6.090
Diplomado Escuela universitaria;21. Barajas;2.774;2.780;2.833;2.779;2.587
Arquitecto o Ingeniero técnico;01. Centro;1.876;1.936;1.989;1.937;1.873
Arquitecto o Ingeniero técnico;02. Arganzuela;3.387;3.325;3.299;3.216;3.139
Arquitecto o Ingeniero técnico;03. Retiro;2.662;2.639;2.578;2.486;2.449
Arquitecto o Ingeniero técnico;04. Salamanca;2.479;2.419;2.356;2.264;2.228
Arquitecto o Ingeniero técnico;05. Chamartín;2.516;2.457;2.441;2.366;2.277
Arquitecto o Ingeniero técnico;06. Tetuán;2.458;2.427;2.417;2.326;2.265
Arquitecto o Ingeniero técnico;07. Chamberí;2.245;2.135;2.126;2.045;1.965
Arquitecto o Ingeniero técnico;08. Fuencarral-El Pardo;4.694;4.700;4.690;4.540;4.435
Arquitecto o Ingeniero técnico;09. Moncloa-Aravaca;2.008;2.000;1.987;1.928;1.848
Arquitecto o Ingeniero técnico;10. Latina;2.990;2.948;2.962;2.884;2.843
Arquitecto o Ingeniero técnico;11. Carabanchel;2.643;2.636;2.635;2.560;2.522
Arquitecto o Ingeniero técnico;12. Usera;1.040;1.068;1.064;1.049;1.016
Arquitecto o Ingeniero técnico;13. Puente de Vallecas;1.502;1.554;1.616;1.579;1.491
Arquitecto o Ingeniero técnico;14. Moratalaz;1.535;1.528;1.530;1.501;1.485
Arquitecto o Ingeniero técnico;15. Ciudad Lineal;3.334;3.324;3.302;3.187;3.085
Arquitecto o Ingeniero técnico;16. Hortaleza;3.528;3.553;3.626;3.555;3.535
Arquitecto o Ingeniero técnico;17. Villaverde;1.153;1.169;1.179;1.164;1.134
Arquitecto o Ingeniero técnico;18. Villa de Vallecas;1.637;1.658;1.705;1.682;1.645
Arquitecto o Ingeniero técnico;19. Vicálvaro;960;985;994;1.017;1.081
Arquitecto o Ingeniero técnico;20. San Blas-Canillejas;2.272;2.292;2.299;2.273;2.214
Arquitecto o Ingeniero técnico;21. Barajas;1.065;1.080;1.067;1.067;1.028
Licenciado universitario, Arquitecto o Ingeniero;01. Centro;32.295;34.165;36.765;37.379;37.188
Licenciado universitario, Arquitecto o Ingeniero;02. Arganzuela;32.321;33.495;34.906;35.288;35.457
Licenciado universitario, Arquitecto o Ingeniero;03. Retiro;30.816;31.583;32.493;32.452;32.582
Licenciado universitario, Arquitecto o Ingeniero;04. Salamanca;42.405;43.443;44.628;44.537;44.454
Licenciado universitario, Arquitecto o Ingeniero;05. Chamartín;42.062;42.982;44.048;43.933;43.860
Licenciado universitario, Arquitecto o Ingeniero;06. Tetuán;27.733;29.056;30.545;30.644;30.734
Licenciado universitario, Arquitecto o Ingeniero;07. Chamberí;40.105;40.996;42.225;41.993;41.810
Licenciado universitario, Arquitecto o Ingeniero;08. Fuencarral-El Pardo;48.542;50.132;52.050;52.382;52.722
Licenciado universitario, Arquitecto o Ingeniero;09. Moncloa-Aravaca;28.079;28.945;29.872;30.148;30.454
Licenciado universitario, Arquitecto o Ingeniero;10. Latina;22.255;23.559;25.101;25.358;25.771
Licenciado universitario, Arquitecto o Ingeniero;11. Carabanchel;20.108;21.419;23.268;23.654;23.949
Licenciado universitario, Arquitecto o Ingeniero;12. Usera;7.595;8.291;9.024;9.395;9.712
Licenciado universitario, Arquitecto o Ingeniero;13. Puente de Vallecas;12.564;13.847;15.150;15.359;15.671
